113	752	2606432247	731306	159877	['host1', 'host8', 'host7']	['host11']	['host15']	['host3']
114	760	302	22	136	['host1']	['host0']	['host6']	['host11']
115	761	2861	4438	643	['host1']	['host0']	['host6']	['host11']
116	766	404	22	191	['host1']	['host0']	['host6']	['host11']
117	786	39745643	27421142	22949073	['host1']	['host0']	['host6']	['host11']
118	798	404	22	191	['host1']	['host0']	['host6']	['host11']
119	814	302	22	136	['host1']	['host0']	['host6']	['host11']
120	818	18467316	11859799	135317	['host1']	['host0']	['host6']	['host11']
121	826	541	61	297	['host1']	['host0']	['host6']	['host11']
122	848	499350845	65252556	632	['host1']	['host0']	['host6']	['host11']
123	852	78548	69133	27683	['host1']	['host0']	['host6']	['host11']
124	853	404	18	191	['host1']	['host0']	['host6']	['host11']
125	853	302	18	136	['host1']	['host0']	['host6']	['host11']
126	861	488839353	37433433	559	['host1']	['host0']	['host6']	['host11']
127	888	213074884	712	517	['host1']	['host0']	['host6']	['host11']
128	889	106505052	712	512	['host1']	['host0']	['host6']	['host11']
129	893	404	22	191	['host1']	['host0']	['host6']	['host11']
130	894	671028477	858095742	18069286	['host1', 'host8']	['host6', 'host12', 'host15']	['host3']	['host6']
131	904	240997951753	23352805238	18523288	['host1', 'host8', 'host7']	['host11', 'host15', 'host4', 'host7', 'host0', 'host8', 'host6', 'host13', 'host1', 'host10', 'host5', 'host2', 'host3', 'host9', 'host14', 'host12']	['host11']	['host1']
132	907	302	22	136	['host1']	['host0']	['host6']	['host11']
133	941	4233153	37	244	['host1']	['host0']	['host6']	['host11']
134	941	302	22	136	['host1']	['host0']	['host6']	['host11']
135	948	404	22	191	['host1']	['host0']	['host6']	['host11']
136	950	2977	3277	1640	['host1']	['host0']	['host6']	['host11']
137	951	2154572	4367337	1800513	['host1']	['host0']	['host6']	['host11']
138	956	16986087	10718876	143981	['host1']	['host0']	['host6']	['host11']
139	967	22553	3460	92	['host1']	['host0']	['host6']	['host11']
140	978	10839989	21553994	11606050	['host1']	['host0']	['host6']	['host11']
141	980	404	22	191	['host1']	['host0']	['host6']	['host11']
142	986	316	161	525	['host1']	['host0']	['host6']	['host11']
143	987	18573410	11930132	135197	['host1']	['host0']	['host6']	['host11']
144	992	302	22	136	['host1']	['host0']	['host6']	['host11']
145	994	823399672	449190226	1134341439	['host1', 'host8', 'host7']	['host11']	['host15', 'host4', 'host7', 'host9']	['host10']
146	995	875035060	695966605	1750412774	['host1', 'host8', 'host7']	['host11', 'host15']	['host3', 'host6', 'host8', 'host11', 'host4', 'host13']	['host1']
147	1023	10839989	20950537	11309947	['host1']	['host0']	['host6']	['host11']
148	1023	302	22	136	['host1']	['host0']	['host6']	['host11']
149	1026	14493275	9199799	122567	['host1']	['host0']	['host6']	['host11']
150	1030	404	18	191	['host1']	['host0']	['host6']	['host11']
151	1032	2478831216	2717436432	285702725	['host1', 'host8', 'host7']	['host11', 'host15', 'host4', 'host7', 'host0', 'host8', 'host6', 'host13', 'host1', 'host10']	['host7']	['host5']
152	1033	30397480641	84799485472	21837842837	['host1', 'host8', 'host7']	['host11', 'host15', 'host4', 'host7', 'host0', 'host8', 'host6', 'host13', 'host1', 'host10', 'host5', 'host2', 'host3', 'host9', 'host14', 'host12']	['host11', 'host1', 'host4', 'host3', 'host8', 'host14', 'host5', 'host6', 'host12', 'host15', 'host9', 'host0', 'host10', 'host13', 'host2', 'host7']	['host3']
153	1034	780	494	496	['host1']	['host0']	['host6']	['host11']
154	1035	237147412000	19386229541	16849671	['host1', 'host8', 'host7']	['host11', 'host15', 'host4', 'host7', 'host0', 'host8', 'host6', 'host13', 'host1', 'host10', 'host5', 'host2', 'host3', 'host9', 'host14', 'host12']	['host11']	['host1']
155	1036	487643	738993	35934	['host1']	['host0']	['host6']	['host11']
156	1036	458551	723315	36634	['host1']	['host0']	['host6']	['host11']
