job_201105130146_0522	PigLatin:stage_send_jobs\.pig	4243053	4332205	4242679	1305477936	28	6	12	18	1	1		
job_201105130146_0523	PigLatin:stage_send_jobs\.pig	4243054	5212544	89007	1305477970	26	6	12	18	1	1		
job_201105130146_0524	PigLatin:stage_unsubs\.pig	2112512	0	2112512	1305478077	18	9	0	9	1	0		
job_201105130146_0525	PigLatin:load_email_opens-nHY0GdGb\.pig	3914791	3914791	4242679	1305478083	13	6	0	6	1	0		
job_201105130146_0527	PigLatin:stage_email_sends\.pig	3546088073	0	3546088073	1305478090	180	2008	0	2008	53	0		
job_201105130146_0526	PigLatin:stage_email_bounces\.pig	24726477	0	24726477	1305478090	32	21	0	21	1	0		
job_201105130146_0528	PigLatin:load_email_clicks-DdbhxPBD\.pig	3914791	3914791	4242679	1305478094	14	6	0	6	1	0		
job_201105130146_0529	PigLatin:load_email_opens-nHY0GdGb\.pig	4243052	12900	117	1305478101	24	3	12	15	1	1		
job_201105130146_0530	PigLatin:load_email_clicks-DdbhxPBD\.pig	4243051	12874	117	1305478112	33	3	18	21	1	1		
job_201105130146_0531	PigLatin:load_email_opens-nHY0GdGb\.pig	4243052	4332205	4242679	1305478129	26	3	12	15	1	1		
job_201105130146_0532	PigLatin:load_email_clicks-DdbhxPBD\.pig	4243051	4332205	4242679	1305478150	24	3	12	15	1	1		
job_201105130146_0533	PigLatin:load_email_opens-nHY0GdGb\.pig	4243051	739841	13987	1305478162	24	3	12	15	1	1		
job_201105130146_0534	PigLatin:load_email_clicks-DdbhxPBD\.pig	4243052	739841	13987	1305478177	27	6	12	18	1	1		
job_201105130146_0535	PigLatin:load_email_opens-nHY0GdGb\.pig	653320334	0	653320334	1305478191	79	590	0	590	10	0		
job_201105130146_0536	PigLatin:load_email_clicks-DdbhxPBD\.pig	340740864	0	340740864	1305478235	50	186	0	186	5	0		
job_201105130146_0538	INSERT overwrite local directory '/mnt/r\.\.\.)(Stage-1)	933347231203	0	99343718074	1305485172	9135	325193	0	325193	4433	0		
job_201105130146_0539	INSERT OVERWRITE TABLE nitin_test_\.\.\.7))))))(Stage-1)	273059842523	184846455041	19385363	1305486784	19905	203622	1057706	1261328	4187	274		
job_201105130146_0540	PigLatin:load_collections-AsiLNtuT\.pig	34482208	0	34482208	1305499840	97	62	0	62	1	0		
job_201105130146_0541	PigLatin:stage_domains\.pig	15421	0	15421	1305508853	12	3	0	3	1	0		
job_201105130146_0542	PigLatin:stage_domains\.pig	15421	0	15421	1305509729	16	9	0	9	1	0		
job_201105130146_0543	PigLatin:stage_domains\.pig	15417	0	15417	1305510138	11	3	0	3	1	0		
job_201105130146_0544	INSERT overwrite local directory '/mnt/r\.\.\.)(Stage-1)	693314060175	0	0	1305510909	2710	164648	0	164648	3201	0		
job_201105130146_0545	INSERT overwrite local directory '/mnt/r\.\.\.)(Stage-1)	693314060176	0	2608799237	1305518119	2736	166181	0	166181	3201	0		
job_201105130146_0546	PigLatin:load_divisions-VtmkDDlt\.pig	13418	0	13418	1305523819	18	9	0	9	1	0		
job_201105130146_0547	PigLatin:load_subdivisions-zPUHjZ7p\.pig	1083	0	1083	1305523853	12	3	0	3	1	0		
job_201105130146_0548	PigLatin:stage_send_jobs\.pig	3978980	3978980	4311492	1305524094	15	6	0	6	1	0		
job_201105130146_0549	PigLatin:stage_send_jobs\.pig	4311864	12880	117	1305524116	26	3	12	15	1	1		
job_201105130146_0550	PigLatin:stage_send_jobs\.pig	4311864	4402284	4311492	1305524148	29	6	15	21	1	1		
job_201105130146_0551	PigLatin:stage_send_jobs\.pig	4311867	5295072	132216	1305524183	33	6	18	24	1	1		
job_201105130146_0552	PigLatin:load_email_clicks-hNlVRRQb\.pig	3978980	3978980	4311492	1305524241	13	6	0	6	1	0		
job_201105130146_0554	PigLatin:load_email_clicks-hNlVRRQb\.pig	4311865	12888	117	1305524263	23	3	12	15	1	1		
job_201105130146_0553	PigLatin:load_email_opens-mgf8xJMS\.pig	3978980	3978980	4311492	1305524265	14	6	0	6	1	0		
job_201105130146_0555	PigLatin:stage_unsubs\.pig	2107077	0	2107077	1305524274	15	6	0	6	1	0		
job_201105130146_0556	PigLatin:stage_email_sends\.pig	3772484272	0	3772484272	1305524277	265	2934	0	2934	57	0		
job_201105130146_0557	PigLatin:stage_email_bounces\.pig	27144194	0	27144194	1305524277	19	12	0	12	1	0		
job_201105130146_0558	PigLatin:load_email_opens-mgf8xJMS\.pig	4311868	12878	117	1305524282	25	3	12	15	1	1		
job_201105130146_0559	PigLatin:load_email_clicks-hNlVRRQb\.pig	4311865	4402284	4311492	1305524290	30	6	15	21	1	1		
job_201105130146_0560	PigLatin:load_email_opens-mgf8xJMS\.pig	4311868	4402284	4311492	1305524314	31	6	15	21	1	1		
job_201105130146_0561	PigLatin:load_email_clicks-hNlVRRQb\.pig	4311864	748676	20677	1305524326	23	3	12	15	1	1		
job_201105130146_0562	PigLatin:load_email_opens-mgf8xJMS\.pig	4311867	748676	20677	1305524350	24	3	12	15	1	1		
job_201105130146_0563	PigLatin:load_email_clicks-hNlVRRQb\.pig	458490623	0	458490623	1305524363	168	937	0	937	7	0		
job_201105130146_0564	PigLatin:load_email_opens-mgf8xJMS\.pig	798414565	0	798414565	1305524388	112	1186	0	1186	12	0		
job_201105130146_0565	PigLatin:adhoc_weblogs_load\.pig	12736934580	0	12736934580	1305525376	1481	17335	0	17335	208	0		
job_201105130146_0566	PigLatin:load_users-b_0IZAlc\.pig	54573628	0	54573628	1305529112	22	15	0	15	1	0		
job_201105130146_0567	PigLatin:CJkFQlsfBv	54946864	0	54946864	1305530945	37	30	0	30	1	0		
job_201105130146_0568	PigLatin:WEPhFgd9p6	54946864	0	54946864	1305532094	35	27	0	27	1	0		
job_201105130146_0569	PigLatin:Ugxiw_FGwc	54946864	0	54946864	1305532721	29	21	0	21	1	0		
job_201105130146_0570	PigLatin:daBtcwoj42	54946864	0	54946864	1305533137	23	15	0	15	1	0		
job_201105130146_0571	PigLatin:load_merchants-oQV2WWtU\.pig	42596	0	42596	1305533690	29	21	0	21	1	0		
job_201105130146_0572	PigLatin:load_merchant_locations-98cJS3kd\.pig	20555	0	20555	1305533758	14	6	0	6	1	0		
job_201105130146_0573	PigLatin:load_merchant_categories-tGXlk1D4\.pig	85192	0	85192	1305533810	17	18	0	18	2	0		
job_201105130146_0574	PigLatin:load_deals-QWEHF6m1\.pig	75867935	75052252	34363730	1305534769	96	18	81	99	2	1		
job_201105130146_0575	PigLatin:load_deal_options-cnJvgHNK\.pig	10755653	0	10755653	1305535151	38	30	0	30	1	0		
job_201105130146_0576	PigLatin:stage_deal_locations\.pig	18744655	0	18744655	1305535432	43	36	0	36	1	0		
job_201105130146_0577	PigLatin:adhoc_weblogs_load\.pig	12903283793	0	12903283793	1305536415	1466	16733	0	16733	216	0		
job_201105130146_0578	PigLatin:load_orders-HONAu81W\.pig	13765663	0	13765663	1305537765	20	12	0	12	1	0		
job_201105130146_0579	PigLatin:email_impressions_vertica_load\.pig	6211043774	0	6211043774	1305538026	942	10621	0	10621	93	0		
job_201105130146_0580	PigLatin:load_collections-IeugMSFE\.pig	32602514	0	32602514	1305540559	24	15	0	15	1	0		
job_201105130146_0581	PigLatin:tmpcDPBms	388	388	621	1305540656	58	51	0	51	1	0		
job_201105130146_0582	PigLatin:tmpcDPBms	508	508	312	1305540700	34	27	0	27	1	0		
job_201105130146_0583	PigLatin:tmpcDPBms	12903280280	11019854884	6284722863	1305540744	1401	63878	14835	78714	195	13		
job_201105130146_0584	PigLatin:load_impressions-DrGLDs6n\.pig	6211043774	0	6211043774	1305541585	2077	22852	0	22852	93	0		
job_201105130146_0585	PigLatin:tmpjt1rKP	2227	2227	450	1305542161	14	6	0	6	1	0		
job_201105130146_0586	PigLatin:tmpjt1rKP	820	820	450	1305542178	14	6	0	6	1	0		
job_201105130146_0587	PigLatin:tmpjt1rKP	6284778326	141500645	5267707652	1305542196	493	16888	18340	35229	113	49		
job_201105130146_0588	PigLatin:stage_adwords_keywords_adspend\.pig	51061270	0	51061270	1305542325	138	106	0	106	1	0		
job_201105130146_0589	PigLatin:stage_adwords_placements_adspend\.pig	15011165	0	15011165	1305542481	125	64	0	64	1	0		
job_201105130146_0590	PigLatin:stage_adspend_adcenter_keywords\.pig	3211489	0	3211489	1305542623	29	15	0	15	1	0		
job_201105130146_0591	PigLatin:stage_doubleclick_adspend\.pig	88913	54282	65959	1305542663	33	6	18	24	2	1		
job_201105130146_0592	PigLatin:stage_commission_junction_adspend\.pig	327377	0	327377	1305542711	9	3	0	3	1	0		
job_201105130146_0593	PigLatin:et_loads\.pig	654463118	0	654463118	1305543614	31	198	0	198	10	0		
job_201105130146_0594	PigLatin:et_loads\.pig	3914791	0	3914791	1305543614	13	6	0	6	1	0		
job_201105130146_0595	PigLatin:et_loads\.pig	341248768	0	341248768	1305543615	29	54	0	54	5	0		
job_201105130146_0596	PigLatin:et3mXqfJhP	1329506716	0	1329506716	1305544030	74	624	0	624	20	0		
job_201105130146_0597	INSERT overwrite local dire\.\.\.'/analytic/%')(Stage-1)	1009515914601	0	21962100833	1305544296	5772	340875	0	340875	4833	0		
job_201105130146_0598	INSERT OVERWRITE LOCAL DIRECT\.\.\.'2010-11-01'(Stage-1)	5900183244	0	6331329904	1305550632	109	5390	0	5390	195	0		
job_201105130146_0599	INSERT OVERWRITE LOCAL DIRECT\.\.\.'2010-11-01'(Stage-1)	9083951089	0	9736803996	1305550869	143	7402	0	7402	224	0		
job_201105130146_0600	PigLatin:stage_send_jobs\.pig	3739798	3739798	4052176	1305563349	15	6	0	6	1	0		
job_201105130146_0601	PigLatin:stage_send_jobs\.pig	4052551	12878	117	1305563370	27	3	12	15	1	1		
job_201105130146_0602	PigLatin:stage_send_jobs\.pig	4052551	4137472	4052176	1305563402	31	6	15	21	1	1		
job_201105130146_0603	PigLatin:stage_send_jobs\.pig	4052549	4976216	104620	1305563486	110	3	96	99	1	1		
job_201105130146_0604	PigLatin:stage_email_sends\.pig	3282568237	0	3282568237	1305563947	307	3363	0	3363	49	0		
job_201105130146_0605	PigLatin:stage_unsubs\.pig	2263802	0	2263802	1305563956	118	111	0	111	1	0		
job_201105130146_0606	PigLatin:load_email_clicks-zKdeOPdq\.pig	3739798	3739798	4052176	1305563970	16	6	0	6	1	0		
job_201105130146_0607	PigLatin:load_email_clicks-zKdeOPdq\.pig	4052550	12872	117	1305563991	27	3	12	15	1	1		
job_201105130146_0608	PigLatin:load_email_clicks-zKdeOPdq\.pig	4052550	4137472	4052176	1305564023	26	3	12	15	1	1		
job_201105130146_0609	PigLatin:load_email_clicks-zKdeOPdq\.pig	4052550	708074	16325	1305564055	25	3	12	15	1	1		
job_201105130146_0610	PigLatin:load_email_opens-x12XMuvm\.pig	3739798	3739798	4052176	1305564064	12	6	0	6	1	0		
job_201105130146_0611	PigLatin:load_email_opens-x12XMuvm\.pig	4052551	12858	117	1305564081	28	3	12	15	1	1		
job_201105130146_0612	PigLatin:load_email_clicks-zKdeOPdq\.pig	365599208	0	365599208	1305564109	89	452	0	452	6	0		
job_201105130146_0614	PigLatin:load_email_opens-x12XMuvm\.pig	4052551	4137472	4052176	1305564113	26	3	12	15	1	1		
job_201105130146_0613	PigLatin:stage_email_bounces\.pig	24800225	0	24800225	1305564119	53	45	0	45	1	0		
job_201105130146_0615	PigLatin:load_email_opens-x12XMuvm\.pig	4052549	708074	16325	1305564144	26	3	12	15	1	1		
job_201105130146_0616	PigLatin:load_email_opens-x12XMuvm\.pig	679038728	0	679038728	1305564189	118	924	0	924	11	0		
job_201105130146_0617	PigLatin:tmpmMHMvz	508	508	325	1305565168	15	6	0	6	1	0		
job_201105130146_0618	PigLatin:tmpmMHMvz	388	388	621	1305565168	17	9	0	9	1	0		
job_201105130146_0620	PigLatin:tmpP3709d	508	508	320	1305565288	14	6	0	6	1	0		
job_201105130146_0621	PigLatin:tmpP3709d	388	388	621	1305565289	14	6	0	6	1	0		
job_201105130146_0622	PigLatin:tmpP3709d	12903280280	11019859290	6301998762	1305565312	1603	72957	16868	89826	195	13		
job_201105130146_0623	PigLatin:tmpkicc7P	2227	2227	454	1305566929	15	6	0	6	1	0		
job_201105130146_0624	PigLatin:tmpkicc7P	826	826	454	1305566951	12	6	0	6	1	0		
job_201105130146_0625	PigLatin:tmpkicc7P	6302054225	141500645	5282620350	1305566969	446	18166	16126	34293	113	49		
job_201105130146_0626	PigLatin:stage_unsubs\.pig	2263802	0	2263802	1305568312	36	30	0	30	1	0		
job_201105130146_0627	Job5788669225303786414\.jar	375	92	146	1305577308	25	3	12	15	1	1		
job_201105130146_0628	Job8340556424805630000\.jar	375	92	64	1305577347	24	3	12	15	1	1		
job_201105130146_0629	Job672439253089394542\.jar	391	44	50	1305579421	23	3	12	15	1	1		
job_201105130146_0630	Job5469609268431544679\.jar	391	88	92	1305579697	26	3	12	15	1	1		
job_201105130146_0631	Job3275039923087420570\.jar	391	88	168	1305580063	25	3	12	15	1	1		
job_201105130146_0633	Job865336278180885329\.jar	391	88	168	1305580518	24	3	12	15	1	1		
job_201105130146_0636	Job2738038258627981721\.jar	391	88	88	1305584663	23	3	12	15	1	1		
job_201105130146_0637	Job994712915910935736\.jar	11335	12884	13111	1305585987	25	6	12	18	2	1		
job_201105130146_0638	Job6066550858639540058\.jar	11335	12884	9727	1305586246	23	6	12	18	2	1		
job_201105130146_0639	Job3364783827181356239\.jar	11335	12884	9727	1305586479	24	6	12	18	2	1		
job_201105130146_0640	Job6323990287407911899\.jar	5879	6697	6417	1305586669	23	3	12	15	1	1		
job_201105130146_0641	Job4879986664648930759\.jar	5879	6697	6417	1305587158	25	3	12	15	1	1		
job_201105130146_0644	PigLatin:stage_email_bounces\.pig	24800225	0	24800225	1305587532	16	9	0	9	1	0		
job_201105130146_0645	PigLatin:stage_unsubs\.pig	2263802	0	2263802	1305587666	11	3	0	3	1	0		
job_201105130146_0646	PigLatin:DefaultJobName	73485021	71998348	69422001	1305587698	47	18	33	51	2	1		
job_201105130146_0647	PigLatin:DefaultJobName	69430689	68562181	69069822	1305587750	39	12	27	39	2	1		
job_201105130146_0648	PigLatin:load_impressions-DDQYYPed\.pig	7046066888	0	7046066888	1305589490	1875	24094	0	24094	105	0		
job_201105130146_0649	PigLatin:load_impressions-cLAEeoLC\.pig	5790821898	0	5790821898	1305589700	2032	23370	0	23370	87	0		
job_201105130146_0650	PigLatin:email_impressions_vertica_load\.pig	7046066888	0	7046066888	1305590183	1092	12227	0	12227	105	0		
job_201105130146_0651	PigLatin:load_treatment\.pig	5879	6697	6417	1305591188	28	3	12	15	1	1		
job_201105130146_0652	PigLatin:load_treatment\.pig	5879	6697	4740	1305591250	24	3	12	15	1	1		
job_201105130146_0653	PigLatin:load_treatment\.pig	5879	6697	6167	1305591346	24	3	12	15	1	1		
job_201105130146_0654	PigLatin:load_treatment\.pig	5879	6697	6167	1305591396	27	3	12	15	1	1		
job_201105130146_0655	PigLatin:load_treatment\.pig	5879	6697	6167	1305591455	24	3	12	15	1	1		
